trip_id,duration_sec,start_date,start_station_name,start_station_id,end_date,end_station_name,end_station_id,bike_number,zip_code,subscriber_type,c_subscription_type,start_station_latitude,start_station_longitude,end_station_latitude,end_station_longitude,member_birth_year,member_gender,bike_share_for_all_trip,start_station_geom,end_station_geom
27532018040507244800,486,2018-04-05 07:24:48 UTC,Dolores St at 15th St,96,2018-04-05 07:32:55 UTC,Market St at 10th St,58,2753,,Subscriber,Subscriber,37.7662102,-122.4266136,37.776619,-122.417385,1987,Male,No,POINT(-122.4266136 37.7662102),POINT(-122.417385 37.776619)
12782018040418233700,283,2018-04-04 18:23:37 UTC,Market St at Dolores St,86,2018-04-04 18:28:21 UTC,Market St at 10th St,58,1278,,Subscriber,Subscriber,37.7693053,-122.4268256,37.776619,-122.417385,1980,Male,No,POINT(-122.4268256 37.7693053),POINT(-122.417385 37.776619)
32602018040410205100,402,2018-04-04 10:20:51 UTC,Church St at Duboce Ave,85,2018-04-04 10:27:34 UTC,Market St at 10th St,58,3260,,Subscriber,Subscriber,37.7700831,-122.4291557,37.776619,-122.417385,,,No,POINT(-122.4291557 37.7700831),POINT(-122.417385 37.776619)
7062018040410051100,629,2018-04-04 10:05:11 UTC,Grove St at Divisadero,53,2018-04-04 10:15:41 UTC,Market St at 10th St,58,706,,Customer,Customer,37.775946,-122.4377775,37.776619,-122.417385,,,No,POINT(-122.4377775 37.775946),POINT(-122.417385 37.776619)
26132018040409030100,853,2018-04-04 09:03:01 UTC,1st St at Folsom St,26,2018-04-04 09:17:14 UTC,Market St at 10th St,58,2613,,Subscriber,Subscriber,37.78729,-122.39438,37.776619,-122.417385,1989,Male,No,POINT(-122.39438 37.78729),POINT(-122.417385 37.776619)
15302018040408404600,719,2018-04-04 08:40:46 UTC,Precita Park,144,2018-04-04 08:52:46 UTC,Market St at 10th St,58,1530,,Subscriber,Subscriber,37.7472996,-122.4114029,37.776619,-122.417385,1989,Male,No,POINT(-122.4114029 37.7472996),POINT(-122.417385 37.776619)
7552018040206385500,263,2018-04-02 06:38:55 UTC,Market St at Dolores St,86,2018-04-02 06:43:18 UTC,Market St at 10th St,58,755,,Subscriber,Subscriber,37.7693053,-122.4268256,37.776619,-122.417385,1975,Male,No,POINT(-122.4268256 37.7693053),POINT(-122.417385 37.776619)
34442017123116021000,903,2017-12-31 16:02:10 UTC,17th St at Valencia St,109,2017-12-31 16:17:14 UTC,Market St at 10th St,58,3444,,Customer,Customer,37.7633158,-122.4219039,37.776619,-122.417385,1971,Female,,POINT(-122.4219039 37.7633158),POINT(-122.417385 37.776619)
20572017123112034600,935,2017-12-31 12:03:46 UTC,Father Alfred E Boeddeker Park,34,2017-12-31 12:19:21 UTC,Market St at 10th St,58,2057,,Subscriber,Subscriber,37.7839879,-122.412408,37.776619,-122.417385,1979,Male,,POINT(-122.412408 37.7839879),POINT(-122.417385 37.776619)
35912017122609555000,815,2017-12-26 09:55:50 UTC,Townsend St at 5th St,80,2017-12-26 10:09:26 UTC,Market St at 10th St,58,3591,,Subscriber,Subscriber,37.7753058,-122.39738,37.776619,-122.417385,1988,Male,,POINT(-122.39738 37.7753058),POINT(-122.417385 37.776619)
31442017122213470300,215,2017-12-22 13:47:03 UTC,Folsom St at 9th St,78,2017-12-22 13:50:38 UTC,Market St at 10th St,58,3144,,Subscriber,Subscriber,37.7737172,-122.4116467,37.776619,-122.417385,1983,Male,,POINT(-122.4116467 37.7737172),POINT(-122.417385 37.776619)
33632017121719292700,667,2017-12-17 19:29:27 UTC,Howard St at 2nd St,25,2017-12-17 19:40:35 UTC,Market St at 10th St,58,3363,,Subscriber,Subscriber,37.787521780456245,-122.39740490913391,37.776619,-122.417385,1986,Male,,POINT(-122.397404909134 37.7875217804563),POINT(-122.417385 37.776619)
20482017121716503100,390,2017-12-17 16:50:31 UTC,Market St at Dolores St,86,2017-12-17 16:57:02 UTC,Market St at 10th St,58,2048,,Subscriber,Subscriber,37.7693053,-122.4268256,37.776619,-122.417385,1993,Female,,POINT(-122.4268256 37.7693053),POINT(-122.417385 37.776619)
25982017121615420400,581,2017-12-16 15:42:04 UTC,Folsom St at 3rd St,36,2017-12-16 15:51:45 UTC,Market St at 10th St,58,2598,,Subscriber,Subscriber,37.78383,-122.39887,37.776619,-122.417385,1993,Male,,POINT(-122.39887 37.78383),POINT(-122.417385 37.776619)
9622017121610152200,301,2017-12-16 10:15:22 UTC,Market St at Dolores St,86,2017-12-16 10:20:23 UTC,Market St at 10th St,58,962,,Subscriber,Subscriber,37.7693053,-122.4268256,37.776619,-122.417385,1982,Male,,POINT(-122.4268256 37.7693053),POINT(-122.417385 37.776619)
11682017121509332600,602,2017-12-15 09:33:26 UTC,Harrison St at 20th St,129,2017-12-15 09:43:29 UTC,Market St at 10th St,58,1168,,Customer,Customer,37.758862,-122.412544,37.776619,-122.417385,1987,Male,,POINT(-122.412544 37.758862),POINT(-122.417385 37.776619)
